Tumor_Sample_Barcode,count
TCGA-BH-A0BA-01,58
TCGA-BH-A0HX-01,58
TCGA-AR-A0U2-01,57
TCGA-A8-A08H-01,57
TCGA-B6-A3ZX-01,57
TCGA-A7-A26G-01,57
TCGA-A2-A0YE-01,57
TCGA-C8-A131-01,57
TCGA-E2-A14N-01,57
TCGA-A2-A3XV-01,57
TCGA-B6-A1KN-01,57
TCGA-A2-A25E-01,57
TCGA-A8-A076-01,56
TCGA-EW-A2FR-01,56
TCGA-A2-A25D-01,56
TCGA-A2-A04U-01,56
TCGA-BH-A0E6-01,56
TCGA-D8-A1Y3-01,55
TCGA-E2-A155-01,55
TCGA-A2-A0YJ-01,55
TCGA-E9-A22B-01,55
TCGA-E9-A1R2-01,55
TCGA-BH-A0DE-01,55
TCGA-BH-A0HY-01,55
TCGA-E9-A1R7-01,55
TCGA-E2-A56Z-01,55
TCGA-BH-A18F-01,54
TCGA-A2-A0CM-01,54
TCGA-B6-A1KF-01,54
TCGA-AR-A1AR-01,54
TCGA-EW-A1OZ-01,54
TCGA-E2-A1AZ-01,54
TCGA-B6-A408-01,54
TCGA-A2-A0YG-01,54
TCGA-A8-A079-01,54
TCGA-A2-A0SW-01,54
TCGA-AC-A2FG-01,54
TCGA-AO-A03V-01,54
TCGA-A8-A08S-01,53
TCGA-BH-A0BJ-01,53
TCGA-A2-A3XZ-01,53
TCGA-A8-A07P-01,53
TCGA-E2-A108-01,53
TCGA-E9-A1N9-01,53
TCGA-A2-A0YT-01,53
TCGA-BH-A0DQ-01,53
TCGA-A7-A0CJ-01,52
TCGA-E9-A54Y-01,52
TCGA-C8-A26W-01,51
TCGA-AN-A0AM-01,51
TCGA-AR-A1AY-01,51
TCGA-A8-A07G-01,51
TCGA-BH-A0B0-01,51
TCGA-B6-A0I2-01,51
TCGA-E9-A1RE-01,51
TCGA-C8-A138-01,51
TCGA-AQ-A04L-01,51
TCGA-BH-A1F2-01,51
TCGA-A8-A08T-01,51
TCGA-B6-A0IA-01,50
TCGA-C8-A132-01,50
TCGA-C8-A135-01,50
TCGA-A2-A04Y-01,50
TCGA-D8-A1X5-01,50
TCGA-C8-A1HK-01,50
